Year,Month,Quarter,Region,Product,Revenue,Cost,Profit,Profit_Margin_pct,Active_Customers,New_Customers,Churned_Customers,Usage_Units,Customer_Satisfaction,NPS_Score,Support_Tickets,Marketing_Spend,Features_Released,Avg_Revenue_per_Customer,Churn_Rate_pct
2019,1,Q1,Asia-Pacific,AI Consulting,84780.32,40877.81,43902.5,51.78,11,2,0,394,8.59,49.5,17,20299.21,0,7707.3,2.57
2019,1,Q1,Asia-Pacific,AI Education,10327.09,3535.72,6791.37,65.76,28,12,2,94,8.13,40.1,38,9196.02,4,368.82,5.55
2019,1,Q1,Asia-Pacific,AI Hardware,11406.15,7170.13,4236.02,37.14,7,3,0,10,6.76,26.0,12,13072.71,0,1629.45,2.46
2019,1,Q1,Asia-Pacific,AI Platform,98936.25,52924.83,46011.42,46.51,62,17,2,2661,7.86,38.3,86,36906.14,4,1595.75,3.36
2019,1,Q1,Europe,AI Consulting,76912.48,37480.53,39431.95,51.27,10,2,0,342,8.72,43.2,15,16606.4,1,7691.25,4.66
2019,1,Q1,Europe,AI Education,8350.93,2693.78,5657.15,67.74,26,5,2,83,8.16,31.8,28,6151.47,1,321.19,6.77
2019,1,Q1,Europe,AI Hardware,11075.0,7240.37,3834.63,34.62,5,3,0,10,7.02,36.5,7,9708.88,1,2215.0,2.4
2019,1,Q1,Europe,AI Platform,103188.22,47699.32,55488.9,53.77,44,14,2,3600,7.67,24.5,74,20520.17,1,2345.19,5.59
2019,1,Q1,Latin America,AI Education,7031.83,3209.78,3822.05,54.35,14,5,0,72,8.03,39.7,18,4094.8,5,502.27,1.14
2019,1,Q1,Latin America,AI Platform,53346.95,24841.33,28505.62,53.43,26,17,1,1304,7.68,37.6,31,20334.93,1,2051.81,3.53
2019,1,Q1,North America,AI Consulting,77480.2,40543.25,36936.95,47.67,10,2,0,404,8.25,43.7,12,20939.23,0,7748.02,4.63
2019,1,Q1,North America,AI Education,12244.91,6694.56,5550.35,45.33,33,6,0,115,7.62,37.0,37,7518.92,4,371.06,0.47
2019,1,Q1,North America,AI Hardware,14295.25,9349.29,4945.96,34.6,6,6,0,12,6.97,22.1,10,13409.12,0,2382.54,4.78
2019,1,Q1,North America,AI Platform,124609.63,61856.07,62753.56,50.36,46,21,2,4049,7.68,34.9,61,30889.09,2,2708.91,3.72
2019,2,Q1,Asia-Pacific,AI Consulting,73554.61,46292.16,27262.45,37.06,9,1,0,319,8.2,35.6,6,19041.11,0,8172.73,4.98
2019,2,Q1,Asia-Pacific,AI Hardware,14223.26,10096.84,4126.42,29.01,5,2,0,12,7.15,29.6,8,8855.21,2,2844.65,0.0
2019,2,Q1,Asia-Pacific,AI Platform,125022.39,52465.78,72556.61,58.03,57,16,2,3689,7.8,35.6,80,27432.84,0,2193.38,3.73
2019,2,Q1,Europe,AI Education,9700.14,3778.6,5921.54,61.05,18,10,1,106,8.37,44.9,18,4677.6,2,538.9,5.03
2019,2,Q1,Europe,AI Hardware,10059.0,5623.42,4435.58,44.1,5,2,0,10,7.09,24.6,14,8538.87,0,2011.8,7.66
2019,2,Q1,Latin America,AI Consulting,31931.0,15084.45,16846.55,52.76,6,2,0,170,8.42,44.9,7,8073.47,1,5321.83,5.37
2019,2,Q1,Latin America,AI Education,6208.91,2754.39,3454.52,55.64,17,6,1,62,8.22,37.0,21,4046.62,2,365.23,4.18
2019,2,Q1,Latin America,AI Hardware,6566.47,3679.62,2886.85,43.96,3,0,0,7,7.25,24.1,6,7043.22,2,2188.82,4.54
2019,2,Q1,Latin America,AI Platform,58016.07,24518.55,33497.53,57.74,36,17,1,1463,7.69,29.1,46,15243.5,2,1611.56,2.66
2019,2,Q1,North America,AI Consulting,83944.87,52187.06,31757.81,37.83,13,3,1,389,8.34,44.4,10,26670.78,2,6457.3,6.32
2019,2,Q1,North America,AI Education,12772.99,6070.27,6702.73,52.48,23,10,1,121,7.49,37.7,46,8362.83,0,555.35,2.87
2019,2,Q1,North America,AI Hardware,11941.07,8364.42,3576.65,29.95,8,0,0,11,7.02,20.8,14,10198.15,0,1492.63,3.11
2019,2,Q1,North America,AI Platform,114595.65,47419.12,67176.53,58.62,52,10,2,3615,7.89,37.6,84,28226.23,4,2203.76,4.42
2019,3,Q1,Asia-Pacific,AI Consulting,88436.08,51558.88,36877.2,41.7,10,2,1,383,8.31,40.7,14,18204.76,0,8843.61,5.97
2019,3,Q1,Asia-Pacific,AI Education,11686.89,4225.99,7460.91,63.84,31,9,1,102,8.27,39.8,45,8543.11,3,377.0,3.33
